tax	COT1	COT2	COT3	COT4	COT5	ICO1	OUT1	OUT2	OUT3	OUT4	total
Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Parafrankia;Parafrankia elaeagni	1	0	0	0	1	0	0	0	0	0	1
Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Pseudofrankia;Pseudofrankia asymbiotica	1	0	1	1	1	0	0	0	0	0	1
Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Pseudofrankia;Pseudofrankia inefficax	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus atacamensis	4	0	3	5	11	0	0	0	0	1	5
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Cumulibacter;Cumulibacter manganitolerans	0	1	1	1	0	0	0	0	1	0	0
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus aquaeductus	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus arenarius	0	2	2	3	2	1	6	1	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus dictyosporus	0	4	1	0	0	0	1	3	3	0	0
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus ruber	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Klenkia;Klenkia taihuensis	2	0	0	0	2	1	0	0	0	0	2
Bacteria;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter lacusdianchii	3	0	0	1	4	0	3	0	0	0	3
Bacteria;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Glycomyces;Glycomyces artemisiae	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Glycomyces;Glycomyces lacisalsi	0	0	0	1	1	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Glycomyces;Glycomyces luteolus	0	0	0	2	5	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Glycomyces;Glycomyces paridis	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Glycomyces;Glycomyces phytohabitans	0	0	2	2	0	0	1	0	1	0	0
